,Municipio,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
112,Santorcaz,4/22/2024,56.3,°F,45.6,°F,34.9,°F,35.6,°F,26.8,°F,20.5,°F,69,%,48,%,29,%,13.9,mph,4.0,mph,0.0,mph,29.98,in,29.85,in,0.00,in
113,Santorcaz,4/23/2024,52.9,°F,40.8,°F,30.7,°F,37.2,°F,28.6,°F,19.9,°F,78,%,62,%,47,%,16.3,mph,5.3,mph,0.0,mph,29.98,in,29.89,in,0.00,in
114,Santorcaz,4/24/2024,58.8,°F,45.3,°F,28.8,°F,32.9,°F,25.9,°F,7.0,°F,83,%,50,%,20,%,17.2,mph,3.6,mph,0.0,mph,29.98,in,29.84,in,0.00,in
115,Santorcaz,4/25/2024,59.5,°F,48.7,°F,42.1,°F,40.5,°F,34.0,°F,28.2,°F,73,%,57,%,40,%,8.7,mph,0.7,mph,0.0,mph,29.85,in,29.65,in,0.00,in
116,Santorcaz,4/26/2024,55.8,°F,48.1,°F,39.7,°F,42.8,°F,37.7,°F,35.1,°F,85,%,68,%,54,%,13.7,mph,1.9,mph,0.0,mph,29.68,in,29.52,in,0.00,in
117,Santorcaz,4/27/2024,55.6,°F,44.5,°F,38.5,°F,44.2,°F,40.4,°F,35.6,°F,99,%,86,%,49,%,14.8,mph,2.1,mph,0.0,mph,29.66,in,29.41,in,0.35,in
118,Santorcaz,4/28/2024,55.9,°F,44.9,°F,34.0,°F,41.5,°F,36.1,°F,27.0,°F,97,%,74,%,35,%,11.2,mph,1.4,mph,0.0,mph,29.85,in,29.65,in,0.00,in
119,Santorcaz,4/29/2024,58.1,°F,47.0,°F,32.4,°F,44.2,°F,36.3,°F,30.2,°F,94,%,68,%,43,%,11.6,mph,1.3,mph,0.0,mph,29.89,in,29.82,in,0.00,in
120,Santorcaz,4/30/2024,59.5,°F,48.5,°F,36.7,°F,45.3,°F,39.2,°F,34.0,°F,97,%,72,%,42,%,6.5,mph,0.5,mph,0.0,mph,29.89,in,29.75,in,0.11,in
121,Santorcaz,5/1/2024,51.6,°F,41.7,°F,34.7,°F,44.8,°F,34.6,°F,27.5,°F,98,%,77,%,43,%,9.2,mph,1.1,mph,0.0,mph,29.81,in,29.69,in,0.13,in
122,Santorcaz,5/2/2024,54.0,°F,42.1,°F,32.5,°F,39.9,°F,34.7,°F,31.5,°F,97,%,77,%,48,%,4.7,mph,0.6,mph,0.0,mph,29.96,in,29.80,in,0.05,in
123,Santorcaz,5/3/2024,62.1,°F,49.1,°F,36.0,°F,43.9,°F,37.1,°F,32.4,°F,90,%,65,%,38,%,5.8,mph,0.7,mph,0.0,mph,30.00,in,29.93,in,0.00,in
124,Santorcaz,5/4/2024,65.3,°F,54.2,°F,41.4,°F,52.7,°F,44.6,°F,38.3,°F,89,%,71,%,48,%,6.9,mph,0.8,mph,0.0,mph,29.98,in,29.90,in,0.00,in
